,Título,Autor,Categoría,Posición,Nota Media,Votos,Nota,Críticas,Resumen
0,IACOCCA: AUTOBIOGRAFIA DE UN TRIUNFADOR,"IACOCCA, LEE",Actores,1,10,1,Excelente,1,"Lee Iacocca es el ex presidente de Ford Motor Company y Chrysler Corporation y un autor de gran éxito. Pasa su tiempo viajando, dando discursos y apoyando a la Fundación Iacocca, que financia la inves"
1,MEMORIAS DE UN FORD T o los nietos de Dios,"FRAGUAS SAAVEDRA, ANTONIO",Actores,2,10,1,Excelente,1,"Ricardo, el loco número 65, es paciente de un manicomio en el que está encerrado porque asegura que los objetos motorizados hablan. Cuando la gente escucha el ruido de un motor, él escucha palabras. E"
2,CERO,"FERNÁNDEZ RIVERO, MIGUEL",Actores,3,10,1,Excelente,1,"Los poemas de este libro recorren los senderos del ser humano y nos muestran lo poco conseguido a lo largo de nuestros días. Al principio fue el CERO. Viniste desnudo al mundo; cero en la vida, cero e"
3,FUBARBUNDY (III). LA ISLA CUARENTENA,"CUEVAS, ARMANDO",Actores,4,8,3,Muy bueno,1,"Menorca ha sido escenario de una de las batallas más cruentas de la historia, pero por fin es segura. El día a día en la isla sigue siendo duro, pero los supervivientes creen haber encontrado allí un "
4,STELALUNA,"CANNON, JANELL",Actores,5,7,1,Muy bueno,1,"Esta es la bella historia de Stelaluna, una pequeña murciélaga que se ve separada de su madre y es adoptada por una familia de pájaros. La fraternidad, la integración, las costumbres diferentes, hacen"
5,NI UNA MÁS,"SÁEZ CARRAL, MIGUEL",Actores,6,7,1,Muy bueno,0,"Alma tiene diecisiete años, el pelo castaño, la boca un poco grande y los ojos oscuros. Tiene dos amigas íntimas, Greta y Nata, un puñado de gente con la que se va de fiesta y el recuerdo de una noche"
6,MEMORIAS DE UN FORD T o los nietos de Dios,"FRAGUAS SAAVEDRA, ANTONIO",Actores,7,10,1,Excelente,1,"Ricardo, el loco número 65, es paciente de un manicomio en el que está encerrado porque asegura que los objetos motorizados hablan. Cuando la gente escucha el ruido de un motor, él escucha palabras. E"
7,CERO,"FERNÁNDEZ RIVERO, MIGUEL",Actores,8,10,1,Excelente,1,"Los poemas de este libro recorren los senderos del ser humano y nos muestran lo poco conseguido a lo largo de nuestros días. Al principio fue el CERO. Viniste desnudo al mundo; cero en la vida, cero e"
8,IACOCCA: AUTOBIOGRAFIA DE UN TRIUNFADOR,"IACOCCA, LEE",Actores,9,10,1,Excelente,1,"Lee Iacocca es el ex presidente de Ford Motor Company y Chrysler Corporation y un autor de gran éxito. Pasa su tiempo viajando, dando discursos y apoyando a la Fundación Iacocca, que financia la inves"
9,FUBARBUNDY (III). LA ISLA CUARENTENA,"CUEVAS, ARMANDO",Actores,10,8,3,Muy bueno,1,"Menorca ha sido escenario de una de las batallas más cruentas de la historia, pero por fin es segura. El día a día en la isla sigue siendo duro, pero los supervivientes creen haber encontrado allí un "
10,STELALUNA,"CANNON, JANELL",Actores,11,7,1,Muy bueno,1,"Esta es la bella historia de Stelaluna, una pequeña murciélaga que se ve separada de su madre y es adoptada por una familia de pájaros. La fraternidad, la integración, las costumbres diferentes, hacen"
11,NI UNA MÁS,"SÁEZ CARRAL, MIGUEL",Actores,12,7,1,Muy bueno,0,"Alma tiene diecisiete años, el pelo castaño, la boca un poco grande y los ojos oscuros. Tiene dos amigas íntimas, Greta y Nata, un puñado de gente con la que se va de fiesta y el recuerdo de una noche"
12,CONDICIONES PARA EL VUELO,"ALMEIDA, JOSELYN MICHELLE",Arte,1,10,1,Excelente,0,"La palabra de Joselyn expresa hondamente y de modo lirico el ciclo vital. Tal vez como la poesía más genuina, circular, consciente, responsable que sabe de su propia identidad y la recupera de manera "
13,GREGUERÍAS EN COLLAGE,"GÓMEZ DE LA SERNA, RAMÓN y TONE, ALEXANDRU (Ilustr.)",Arte,2,10,1,Excelente,1,"Un libro para disfrutar de encuentros naturalmente inesperados entre realidad e imaginación de dos artistas cuya obra despierta el asombro en el espectador.

"
14,LAS INVISIBLES: ¿Por qué el Museo del Prado ignora a las mujeres?,"RIAÑO, PEIO H.",Arte,3,9,2,Excelente,0,"Estamos ante la guerra cultural más virulenta de todas, la que se libra en un museo del siglo XIX, gestionado por personas del XX para un público del XXI. El Prado es aún, doscientos años después, una"
15,MÁS ALLÁ DE LA INCÓGNITA OVNI,"VERGEL, PABLO",Arte,4,9,1,Excelente,1,Más allá de la incógnita ovni es otro intento —probablemente vano—  de descifrar qué hay detrás de uno de los fenómenos más significativos y fascinantes de nuestros tiempo: los ovnis y sus tripulantes
16,A ESTE LADO DEL GALLINERO. Visiones en Tchnicolor y Cinemascope,"GARCI, JOSÉ LUIS",Arte,5,9,2,Excelente,1,"Para las generaciones de posguerra el cine era la salida más poderosa a otros mundos, una puerta a la libertad y la imaginación. Algunos llegaron a hacer profesión de aquella afición, como José Luis G"
17,MUJERES ARTISTAS DE LOS SIGLOS XX Y XXI,"GROSENICK, UTA",Arte,6,9,1,Excelente,0,Este libro trata exclusivamente de mujeres artistas. Con ilustraciones seleccionadas y lúcidos comentarios presenta las diversas formas que han adoptado los trabajos artísticos realizados por las muje
18,ARTESONADO DEL SALÓN DE CAZADORES EN EL PALACIO DEL INFANTADO DE GUADALAJARA,"AA, VV",Arte,7,9,1,Excelente,0,"

"
